subj	rel	obj
thick tail	structural-noun	tail
centimeter	has property	short
natural material	structural-noun	material
solution	has positive impact on	problem
bird	has subcomponent	lung
protect	beneficiary	internal organ
least value	structural-noun	value
open container	structural-patient	container
aquatic animal move	structural-verb	move
reaction	has property	bad
observe	patient	sky
population decrease	structural-agent	population
property	has property	visual
identify boiling point	structural-verb	identify
carbon cycle	has subcomponent	decomposition
heard island and mcdonald islands (australia)	structural-noun-compound	australia
lebanon	at location	northern hemisphere
salt and pepper	has subcomponent	salt
m o v	structural-adjective	m
transport sand	instrument	wind
more size	structural-adjective	more
seychelles	at location	southern hemisphere
last long	structural-patient	long
point north	agent	compass
animal eat	structural-agent	animal
pitcairn islands (united kingdom)	structural-noun-compound	pitcairn
lightning	causes	forest fire
weather	causes	shelter
ultraviolet light	structural-noun-compound	ultraviolet
burn	instrument	heat energy
magnifying lens	structural-noun-compound	magnifying
chemical weathering	structural-noun-compound	chemical
animal	has subcomponent	foot
1 day	structural-noun	day
send electricity	result	electricity flow
plant	has property	real
adult tree	structural-adjective	adult
sunlight	has subcomponent	light energy
car	has property	electric
few prey	structural-noun	prey
tie back hair	at location	laboratory
food variety	structural-noun-compound	food
toaster	causes	heat energy
hit drum	structural-patient	drum
egg develop	structural-agent	egg
shelter	derivational morphology	shelter
body part	has property	shape
low distance	structural-noun	distance
electric car	has subcomponent	electricity
predict weather	structural-verb	predict
saint pierre and miquelon (france)	structural-noun-compound	france
animal find shelter	structural-verb	find
moon type	structural-noun-compound	type
aruba	at location	northern hemisphere
communicate	instrument	tool
poison insect	structural-verb	poison
tianjin	at location	people's republic of china
water fall	structural-verb	fall
herbivore eat plant	structural-agent	herbivore
oxfordshire	at location	england
planet rotate	result	night
norfolk	structural-noun-compound	norfolk
same object	structural-adjective	same
decomposer consume	patient	dead organism
heat	causes	burn
pebble	at location	water
tectonic plate move	at location	fault line
warm front	causes	wind
insulate	instrument	thermal insulator
paint	patient	object
break down food	instrument	cell
renewable resource	has property	replaceable
tinted lens	structural-noun	lens
quality	has property	low
forests	derivational morphology	forest
protect	patient	body
heavy object	structural-adjective	heavy
mexico city	structural-noun-compound	city
weather	result	weathering
bang drum	structural-verb	bang
avoid predator	result	live
live young	structural-adjective	live
sea mammal	structural-noun-compound	sea
unique seed	structural-adjective	unique
brass	has property	nonmagnetic
vine climb	structural-agent	vine
river flow	structural-verb	flow
hit	patient	piano key
jalisco	structural-noun-compound	jalisco
planet	has property	dwarf
visual property	structural-adjective	visual
rotting meat smell	structural-noun-compound	smell
magnify	instrument	microscope
l a	structural-noun-compound	a
rock deposit	result	rock pile
san marino	structural-noun-compound	marino
baby bird	structural-adjective	baby
sediment cover organism remains	result	fossil
biofuel	causes	carbon dioxide
develop trait	structural-verb	develop
food chain role	structural-noun-compound	role
transpire	source	plant
1 day	structural-quantifier	1
organism	has property	health
parent	has subcomponent	baby
harm animal species	structural-patient	animal species
sutherland	at location	scotland
push switch	structural-patient	switch
new predator	structural-noun	predator
function	agent	electric device
o	has property	m
large land mass	structural-adjective	large
plateau	has subcomponent	cool lava
rock layer fold	structural-agent	rock layer
alligator eat frog	has positive impact on	alligator
virginia	at location	united states of america
carry water	structural-patient	water
make	patient	easier
pencil lead	structural-noun-compound	lead
lose soil	structural-patient	soil
cool	patient	room
animal drink desalinated water	structural-verb	drink
water container	has subcomponent	water
pour water	result	soil wash away
natural gas	has property	nonrenewable
drop	has property	little
reproduce	agent	animal
protect body	structural-verb	protect
shorten	result	short
physical change	causes	change physical property
high pulse	structural-adjective	high
cook islands (new zealand)	at location	southern hemisphere
identify inheritance	structural-verb	identify
nigeria	at location	southern hemisphere
surface	has property	hot
wind exposure	structural-noun-compound	wind
conductor	derivational morphology	conduct
blue light	structural-adjective	blue
top soil layer	structural-adjective	top
particle vibrate	structural-agent	particle
deep sea animal	structural-noun-compound	deep
spread seed	agent	bird
soda can	structural-noun-compound	can
louis	derivational morphology	louis
object	has property	thickness
physical cycle	at location	earth
meadow voles	structural-noun	voles
leaf	has property	big
consumer eat organism	has negative impact on	organism
chemical compound	structural-noun	compound
natural ecosystem	structural-noun	ecosystem
mass	similar to	size
transpiration	derivational morphology	transpire
eat	agent	squirrel
dissolve	derivational morphology	dissolved
cromartyshire	at location	scotland
dissolve	agent	sugar
population size	structural-noun-compound	size
soda can	structural-noun-compound	soda
young butterfly	structural-noun	butterfly
great height	structural-adjective	great
blue object	has subcomponent	blue light
paper	has property	wood-free
new south wales	structural-noun-compound	wales
hemisphere of earth	has subcomponent	earth
nuevo león	at location	mexico
eat	patient	organism
object	has property	rigid
o	has property	s
poison environment	structural-verb	poison
protect	patient	cell
peat	at location	swamp
predator	has property	new
north star	structural-noun-compound	star
medicine	causes	bad reaction
rock layer	structural-noun-compound	layer
power	instrument	source
senegal	at location	southern hemisphere
metamorphosis	has property	complete
old rock	structural-noun	rock
oxygenate blood	structural-verb	oxygenate
instruments	derivational morphology	instrument
something	has property	many
block sunlight	instrument	large canopy
lava cool	structural-agent	lava
use energy	instrument	respire
function	similar to	purpose
increase	patient	number
light	has negative impact on	shadow
no speed	structural-noun	speed
nonliving thing	structural-adjective	nonliving
yorkshire	at location	england
animal	has subcomponent	whisker
take object	has negative impact on	group
temperature change	result	phase change
human	causes	pollution
big size	has positive impact on	extensive property
be on	result	touch
hunt	patient	animal
land feature	structural-noun-compound	feature
mountains	derivational morphology	mountains
produce light	structural-verb	produce
electric device turn on	structural-verb	turn on
dead leaf fall	at location	tree
storm	has subcomponent	rain
tibet autonomous region	structural-noun-compound	tibet
support	patient	plant
copy	result	similar
roots	derivational morphology	root
resource decrease	at location	environment
plant	at location	soil
skeletal system	has subcomponent	skeleton
peat become coal	structural-verb	become
increase water	result	less land
warm temperature	structural-adjective	warm
alligator eat turtle	structural-verb	eat
catch prey	structural-patient	prey
build	derivational morphology	building
increase	patient	value
new york state	structural-noun-compound	york
breathe oxygen	structural-patient	oxygen
forces	derivational morphology	force
river deposit	structural-noun-compound	deposit
incandescent light bulb	has subcomponent	filament
good health	structural-noun	health
delaware	structural-noun-compound	delaware
piano	has subcomponent	piano key
